"Auto","Hete","Mixo","ID","Partition_A","Partition_B","Partition_C"
3141300,1465100,2779400,"g8032.t1","green","green","grey"
1428400,3495900,2037100,"g8039.t1","green","green","grey"
1277400,513290,684270,"g8057.t1","black","black","grey"
38618000,71037000,69783000,"g809.t1.g9827.t1.g4593.t1","turquoise","black","grey"
0,964740,449750,"g8109.t1","yellow","blue","grey"
9177200,3796900,6651400,"g8111.t1","yellow","blue","grey"
2729800,0,2040400,"g8121.t1","green","green","grey"
9557700,2052900,11053000,"g8131.t1","blue","blue","grey"
856660,0,0,"g8133.t1","turquoise","black","turquoise"
0,641460,1036900,"g816.t1","magenta","brown","grey"
435550,1043300,0,"g8170.t1","red","green","grey"
955750,1694500,626760,"g8188.t1","red","green","grey"
3252500,0,0,"g8189.t1","turquoise","black","turquoise"
1860800,0,1051600,"g8223.t1","yellow","blue","grey"
0,231210,233090,"g8268.t1","turquoise","black","grey"
708920,0,0,"g8272.t1","turquoise","black","turquoise"
3384000,4163900,2930600,"g8288.t1","red","green","grey"
479800,1453900,813210,"g8305.t1","green","green","grey"
0,0,154860,"g8315.t1","brown","brown","blue"
1279500,5389100,3750600,"g8320.t1","yellow","blue","grey"
7591700,10695000,11807000,"g8328.t1","turquoise","black","grey"
13615000,6306600,13705000,"g8340.t1","blue","blue","grey"
923130,0,0,"g8360.t1","turquoise","black","turquoise"
3240000,2068700,1454400,"g8370.t1","magenta","brown","grey"
1728300,1448100,2649300,"g8379.t1","brown","brown","grey"
0,0,221670,"g8399.t1","brown","brown","blue"
1166800,703410,755550,"g8408.t1.g8408.t2","black","black","grey"
3891800,8868600,4540300,"g845.t1","blue","blue","grey"
503640,0,0,"g848.t1","turquoise","black","turquoise"
24278000,13828000,12555000,"g851.t1","turquoise","black","grey"
1749900,1234500,2051800,"g8510.t1","red","green","grey"
3720200,0,2976300,"g8516.t1","green","green","grey"
1515100,5745400,5831500,"g8611.t1","turquoise","black","grey"
3817700,9513800,11538000,"g8617.t1","turquoise","black","grey"
0,0,1871000,"g8632.t1","brown","brown","blue"
1414900,751720,975710,"g8657.t1","yellow","blue","grey"
1098400,2044800,2718600,"g8670.t1","magenta","brown","grey"
1425200,994910,1615000,"g8671.t1","red","green","grey"
1581200,765700,1763700,"g8688.t1","blue","blue","grey"
1110200,0,1183900,"g8689.t1","blue","blue","grey"
1385400,3191600,1510700,"g8690.t1","blue","blue","grey"
612610,0,300210,"g8691.t1","yellow","blue","grey"
6272700,4134100,2660400,"g8699.t1","magenta","brown","grey"
2364000,1194000,1402400,"g8707.t1","black","black","grey"
14881000,3174700,3571800,"g8712.t1","turquoise","black","grey"
2171400,5388700,5905100,"g8754.t1","turquoise","black","grey"
325130,0,0,"g8762.t1","turquoise","black","turquoise"
1736400,0,363580,"g8770.t1","black","black","grey"
280980,0,272870,"g8816.t1","blue","blue","grey"
1662000,616160,1051500,"g8823.t1","yellow","blue","grey"
0,603470,0,"g8839.t1","blue","blue","brown"
5678100,14118000,6617700,"g8873.t1","blue","blue","grey"
0,0,425800,"g8918.t1","brown","brown","blue"
22713000,15302000,11753000,"g8926.t1","turquoise","black","grey"
1867500,806830,1117300,"g8937.t1","black","black","grey"
789950,1538800,3247400,"g8953.t1","pink","brown","grey"
746840,1756700,1251500,"g8955.t1","yellow","blue","grey"
1842200,0,1437800,"g896.t1","green","green","grey"
10089000,7713600,3754500,"g8997.t1","pink","brown","grey"
0,553960,0,"g9031.t1","blue","blue","brown"
0,2328400,0,"g9036.t1","blue","blue","brown"
2468100,946940,0,"g9088.t1","magenta","brown","grey"
734980,2316400,970340,"g9092.t1","green","green","grey"
0,0,876820,"g9109.t1","brown","brown","blue"
16216000,1396700,1836500,"g9145.t1","turquoise","black","grey"
3681600,3430200,3981300,"g9152.t1","red","green","grey"
38098000,64257000,195030000,"g9159.t1","brown","brown","grey"
486800,661080,0,"g9170.t1.g10014.t1","brown","brown","grey"
0,0,1151400,"g9200.t1","brown","brown","blue"
16564000,18519000,16821000,"g9204.t1","blue","blue","grey"
1087300,1925000,1566200,"g9230.t1","yellow","blue","grey"
4558300,8494300,5844300,"g9242.t1","green","green","grey"
73847000,15919000,35903000,"g9265.t1","yellow","blue","grey"
9798500,6091100,11207000,"g9269.t1","blue","blue","grey"
514470,0,0,"g9273.t1","turquoise","black","turquoise"
4854800,1727800,2944400,"g928.t1","yellow","blue","grey"
2119500,0,0,"g9310.t1","turquoise","black","turquoise"
3117400,4407400,6734700,"g9313.t1","pink","brown","grey"
288720,1994900,705350,"g9315.t1","green","green","grey"
3479800,0,1011100,"g9327.t1","black","black","grey"
941140,0,0,"g9329.t1","turquoise","black","turquoise"
0,873570,611940,"g9330.t1","yellow","blue","grey"
18026000,7858100,7337800,"g9341.t1","turquoise","black","grey"
48134000,18197000,7869400,"g9401.t1","turquoise","black","grey"
0,0,146970,"g9402.t1","brown","brown","blue"
24368000,19735000,12421000,"g9417.t1","pink","brown","grey"
455770,0,1094200,"g952.t1","red","green","grey"
7782200,7311800,7338200,"g9589.t1","turquoise","black","grey"
1486100,3157000,2988800,"g9591.t1","black","black","grey"
2730800,2147800,3301600,"g9594.t1","red","green","grey"
0,0,465430,"g9614.t1","brown","brown","blue"
967400,1868500,2025100,"g962.t2.g962.t1","turquoise","black","grey"
653510,0,938760,"g9671.t1","red","green","grey"
0,1390600,0,"g9698.t1","blue","blue","brown"
1382800,1672700,1219800,"g9730.t1","red","green","grey"
1982600,1836500,1463600,"g9761.t1","pink","brown","grey"
1218900,0,918900,"g9762.t1","green","green","grey"
2112400,1147500,1970600,"g9788.t1","green","green","grey"
0,2145400,2052700,"g9796.t1","turquoise","black","grey"
0,0,667590,"g9798.t1","brown","brown","blue"
9694800,6814400,9894400,"g9852.t1","blue","blue","grey"
2444100,926220,1303800,"g9853.t1","black","black","grey"
0,649710,0,"g9895.t1","blue","blue","brown"
41213000,39937000,79357000,"g9920.t1","brown","brown","grey"
1653700,0,0,"g9945.t1","turquoise","black","turquoise"
10292000,0,3819800,"g9961.t1","yellow","blue","grey"
0,618670,0,"g9971.t1","blue","blue","brown"
5456800,9628500,7933300,"g9972.t1","yellow","blue","grey"
517560,1553600,1506100,"g9973.t1","turquoise","black","grey"
6367000,5610200,4006900,"g9979.t1","pink","brown","grey"
0,0,1099000,"g9980.t1","brown","brown","blue"
4805900,6605200,11311000,"g9999.t1","pink","brown","grey"
