"Auto","Hete","Mixo","ID","Partition_A","Partition_B","Partition_C"
49153000,18427000,34565000,"g12350.t1","yellow","blue","grey"
0,11468000,1950300,"g12381.t1","green","green","grey"
2372400,13337000,7618400,"g12398.t1","yellow","blue","grey"
34692000,14374000,22394000,"g12406.t1","yellow","blue","grey"
0,0,349800,"g12421.t1","brown","brown","blue"
1313600,0,1086800,"g12431.t1","green","green","grey"
704620,0,0,"g12435.t1","turquoise","black","turquoise"
4580400,3485000,3944700,"g12467.t1","yellow","blue","grey"
31035000,26262000,27386000,"g12470.t1","black","black","grey"
0,436830,735230,"g12510.t1","magenta","brown","grey"
0,0,226970,"g12523.t1","brown","brown","blue"
9975400,7195600,8992500,"g12544.t1","yellow","blue","grey"
3924700,0,0,"g12572.t1","turquoise","black","turquoise"
542930,563110,995170,"g12608.t1","brown","brown","grey"
787900,2208100,1023900,"g1261.t1","green","green","grey"
34930000,18891000,14632000,"g130.t1","turquoise","black","grey"
2722700,0,1307100,"g1311.t1","yellow","blue","grey"
3297300,2397200,2969300,"g1315.t1","yellow","blue","grey"
0,0,1473900,"g1322.t1","brown","brown","blue"
897730,0,716760,"g1323.t1","green","green","grey"
0,1570100,653190,"g1324.t1","yellow","blue","grey"
2709100,8238100,3282100,"g1334.t1","blue","blue","grey"
37534000,20477000,33000000,"g1364.t1","green","green","grey"
720440,1692000,765710,"g1497.t1","blue","blue","grey"
924240,7901100,4579600,"g1512.t1","yellow","blue","grey"
0,1154800,0,"g1527.t1","blue","blue","brown"
763400,0,987270,"g1575.t1","blue","blue","grey"
0,411410,486870,"g1581.t1","turquoise","black","grey"
0,1155800,2059500,"g1677.t1","magenta","brown","grey"
1529000,0,1570500,"g1747.t1","blue","blue","grey"
2190700,7554200,5369100,"g1772.t1","yellow","blue","grey"
1822300,0,1709000,"g1776.t1","blue","blue","grey"
0,4888200,3127500,"g1794.t1","yellow","blue","grey"
1987300,1465500,1907700,"g1798.t1","green","green","grey"
311280,0,0,"g1802.t1","turquoise","black","turquoise"
1770300,0,410970,"g183.t1","black","black","grey"
0,491440,549920,"g1847.t1","turquoise","black","grey"
71726000,18894000,53585000,"g1855.t1","green","green","grey"
2524900,0,0,"g186.t1","turquoise","black","turquoise"
1493300,2818200,3727100,"g1916.t1","magenta","brown","grey"
496440,1181100,0,"g1941.t1","red","green","grey"
1113200,0,942220,"g1943.t1","green","green","grey"
0,0,626490,"g1990.t1","brown","brown","blue"
16449000,3898400,3754900,"g1992.t1","turquoise","black","grey"
3225000,4728500,2490900,"g2051.t1","red","green","grey"
571370,2386300,679240,"g206.t1","blue","blue","grey"
27020000,5784500,25010000,"g2074.t1","blue","blue","grey"
4521900,3412600,3299800,"g2084.t1","turquoise","black","grey"
0,8138900,7709000,"g2094.t1","turquoise","black","grey"
732330,0,965770,"g2095.t1","blue","blue","grey"
1362500,816400,1819500,"g2129.t1","red","green","grey"
1352500,0,2106700,"g2167.t1","red","green","grey"
3620000,818190,2017300,"g2198.t1","yellow","blue","grey"
17353000,28080000,34220000,"g2205.t1","magenta","brown","grey"
245820,0,0,"g2222.t1","turquoise","black","turquoise"
4036000,1418300,1783600,"g225.t1","black","black","grey"
2697200,3860600,2860000,"g226.t1","green","green","grey"
0,613620,0,"g2303.t1","blue","blue","brown"
1734600,1342500,839350,"g2305.t2.g2305.t1","pink","brown","grey"
2207900,7124800,5776200,"g2307.t1","black","black","grey"
251160000,89798000,91994000,"g2308.t1","turquoise","black","grey"
1058300,0,1334900,"g232.t1","blue","blue","grey"
298420,0,0,"g2398.t1","turquoise","black","turquoise"
1538600,3883000,1599800,"g2399.t1","blue","blue","grey"
1119900,2245600,1190000,"g2406.t1","blue","blue","grey"
20462000,18829000,33113000,"g2407.t1","brown","brown","grey"
28738000,12751000,50088000,"g2531.t1","red","green","grey"
0,1106300,0,"g2532.t1","blue","blue","brown"
0,1452900,1160900,"g2562.t1","black","black","grey"
0,408620,583840,"g2632.t1","turquoise","black","grey"
5030200,2762400,3961300,"g2723.t1","yellow","blue","grey"
8099100,16431000,18915000,"g2816.t1","turquoise","black","grey"
319160,275610,382330,"g2866.t1","red","green","grey"
1895400,6064200,8481100,"g2867.t1","magenta","brown","grey"
2906000,2510000,5235200,"g2890.t1","brown","brown","grey"
0,1412200,639060,"g2891.t1","yellow","blue","grey"
1846600,5294600,1459700,"g2913.t1","blue","blue","grey"
34997000,11337000,15651000,"g2930.t1","black","black","grey"
0,0,618640,"g2950.t1","brown","brown","blue"
760100,859780,802810,"g2956.t1","yellow","blue","grey"
0,793230,834720,"g2967.t1","turquoise","black","grey"
0,1973800,1067100,"g3003.t1","yellow","blue","grey"
0,0,1604300,"g3006.t1","brown","brown","blue"
543430,775000,0,"g3024.t1","brown","brown","grey"
1514600,1996100,1508500,"g3048.t1","blue","blue","grey"
2051900,1295800,2297800,"g3058.t1","blue","blue","grey"
0,0,212310,"g3059.t1","brown","brown","blue"
6396700,14949000,14808000,"g3096.t1","turquoise","black","grey"
0,2910600,3715100,"g3127.t1","turquoise","black","grey"
0,1471500,0,"g3139.t2.g3139.t1","blue","blue","brown"
0,0,692050,"g3152.t1","brown","brown","blue"
2368300,2777100,11361000,"g3164.t1","brown","brown","grey"
15976000,12349000,16604000,"g3165.t1","blue","blue","grey"
1486000,3669200,1728000,"g3171.t1","blue","blue","grey"
5603200,0,0,"g3174.t1","turquoise","black","turquoise"
1051900,2690800,2828800,"g3234.t1","turquoise","black","grey"
3309900,5929500,15636000,"g3244.t1","brown","brown","grey"
4603200,8305100,4010800,"g327.t1","blue","blue","grey"
23426000,12966000,14998000,"g3270.t1","black","black","grey"
704890,533820,518150,"g3275.t1","turquoise","black","grey"
0,0,159700,"g3294.t1","brown","brown","blue"
0,1115000,0,"g3298.t1","blue","blue","brown"
13430000,6294400,17017000,"g3308.t1","red","green","grey"
6861100,3525300,5162400,"g3314.t1","yellow","blue","grey"
1535900,1169700,2210100,"g3345.t1","red","green","grey"
0,16441000,1496400,"g3350.t1","blue","blue","grey"
1001800,2336100,1954800,"g3357.t1","black","black","grey"
5359200,5860900,5379200,"g3363.t1","blue","blue","grey"
